iter	RMSE
0	1225.60823
1	1211.64567
2	1197.707952
3	1182.886057
4	1169.455529
5	1153.015317
6	1136.536281
7	1124.134381
8	1110.434683
9	1099.604288
10	1089.305345
11	1077.654241
12	1066.36799
13	1056.45487
14	1049.719503
15	1040.964075
16	1031.022323
17	1019.405599
18	1008.802654
19	998.8765033
20	989.9222324
21	982.128827
22	972.9494737
23	964.4267973
24	955.4031073
25	946.9462415
26	940.5060191
27	934.1656381
28	928.2015012
29	922.2344078
30	916.8781557
31	909.1612595
32	902.7336359
33	897.3643638
34	892.3304279
35	887.2352565
36	882.4097654
37	877.8507761
38	872.9284817
39	868.5593887
40	863.8064775
41	858.6853071
42	854.098875
43	849.9817535
44	845.0035108
45	840.5960222
46	837.1365665
47	831.9101313
48	827.4261101
49	823.0178757
50	819.5027268
51	815.9280446
52	811.3674862
53	807.5581445
54	805.1350772
55	801.536756
56	798.4727673
57	795.6118055
58	792.0874742
59	788.6521042
60	786.0031458
61	783.3846374
62	780.6336085
63	778.3117441
64	775.8943612
65	772.2036935
66	770.0234989
67	768.3518369
68	765.002201
69	763.0533241
70	759.9361755
71	758.1289795
72	755.8712733
73	754.8291504
74	752.8554299
75	750.1431579
76	748.4145936
77	747.2053946
78	745.6027484
79	742.2815023
80	740.8296552
81	739.0842796
82	737.5147133
83	736.6884212
84	735.7147397
85	734.6473005
86	732.5771504
87	731.7295064
88	730.0542917
89	729.4143551
90	727.8891217
91	726.9765162
92	725.7303467
93	724.3797265
94	723.1763474
95	722.3543542
96	721.2594616
97	719.6482295
98	718.5175243
99	716.4264582
100	714.7417896
101	713.6614177
102	711.5251525
103	710.0803614
104	709.5886346
105	708.9465534
106	708.4183154
107	707.2804273
108	706.3323875
109	704.4670105
110	704.3624372
111	703.6331897
112	703.0892331
113	700.7039505
114	699.8249946
115	699.4200944
116	698.433819
117	697.7781811
118	697.3934238
119	695.6964032
120	694.9885252
121	693.7946004
122	693.3391353
123	692.9340296
124	692.3126465
125	691.8662754
126	690.6114549
127	690.2034703
128	689.7707662
129	689.0564172
130	687.717346
131	686.9204134
132	686.7312104
133	685.7718803
134	685.1559092
135	684.562426
136	684.1862169
137	682.6384395
138	681.9689383
139	681.6950726
140	681.1421015
141	680.3810554
142	679.6499751
143	679.2975238
144	678.9651185
145	678.5136306
146	677.76526
147	677.59399
148	677.2432651
149	676.5944743
150	675.7690882
151	675.4062376
152	674.892677
153	674.1725494
154	673.9772449
155	673.4970453
156	673.3141813
157	672.9813872
158	672.2015577
159	671.9716404
160	670.9687749
161	670.6485325
162	670.0470061
163	669.4813476
164	669.0317092
165	668.5773563
166	667.4181285
167	666.5494105
168	666.3232865
169	666.1469587
170	665.3959448
171	664.8010985
172	664.2527363
173	663.7325956
174	663.0232295
175	662.3754284
176	662.1405268
177	662.1402421
178	661.6438968
179	661.2122211
180	660.5279576
181	660.5106043
182	659.9080617
183	658.6519589
184	658.3724295
185	657.9753153
186	657.6872883
187	657.6167488
188	657.2902903
189	656.9208801
190	656.1220912
191	655.6014439
192	655.2552173
193	654.899109
194	654.028857
195	653.7951562
196	653.447744
197	652.3318516
198	651.663035
199	651.0690553
