iter	Passed	Remaining
0	62	12462
1	64	6424
2	66	4365
3	68	3352
4	69	2718
5	71	2305
6	72	1999
7	73	1773
8	75	1594
9	76	1456
10	77	1328
11	78	1228
12	79	1146
13	80	1073
14	81	1004
15	83	955
16	84	906
17	85	861
18	86	820
19	87	784
20	88	754
21	89	724
22	90	696
23	91	671
24	92	648
25	93	628
26	94	607
27	95	589
28	97	572
29	98	556
30	99	541
31	100	527
32	101	513
33	102	501
34	103	488
35	104	477
36	105	465
37	106	454
38	107	445
39	109	436
40	110	427
41	111	419
42	112	411
43	113	403
44	114	395
45	116	389
46	117	382
47	118	374
48	119	368
49	120	362
50	121	355
51	122	349
52	124	344
53	125	338
54	126	334
55	127	329
56	129	325
57	131	321
58	132	316
59	133	311
60	135	308
61	136	303
62	137	299
63	139	295
64	140	291
65	141	287
66	142	283
67	144	279
68	145	276
69	146	272
70	148	269
71	149	264
72	150	261
73	151	257
74	152	253
75	153	250
76	154	247
77	155	243
78	157	240
79	158	237
80	159	234
81	160	230
82	161	227
83	163	225
84	164	222
85	165	219
86	166	216
87	167	213
88	169	210
89	170	208
90	171	204
91	172	202
92	173	199
93	174	196
94	175	194
95	177	191
96	178	189
97	179	187
98	181	184
99	183	183
100	185	181
101	186	179
102	187	176
103	189	174
104	189	171
105	191	169
106	192	167
107	194	165
108	195	163
109	197	161
110	197	158
111	198	156
112	200	154
113	201	151
114	202	149
115	203	147
116	205	145
117	206	143
118	207	141
119	208	138
120	209	136
121	210	134
122	212	132
123	213	130
124	214	128
125	215	126
126	217	124
127	218	122
128	219	121
129	221	119
130	222	117
131	223	115
132	224	112
133	225	111
134	226	109
135	228	107
136	229	105
137	230	103
138	232	101
139	233	99
140	234	97
141	235	96
142	236	94
143	238	92
144	239	90
145	240	88
146	241	87
147	243	85
148	244	83
149	246	82
150	247	80
151	248	78
152	249	76
153	250	74
154	251	73
155	253	71
156	254	69
157	255	67
158	256	66
159	257	64
160	260	62
161	260	61
162	261	59
163	262	57
164	263	55
165	265	54
166	266	52
167	267	50
168	268	49
169	269	47
170	270	45
171	271	44
172	272	42
173	273	40
174	274	39
175	276	37
176	277	36
177	277	34
178	278	32
179	279	31
180	281	29
181	281	27
182	282	26
183	284	24
184	285	23
185	286	21
186	287	20
187	288	18
188	290	16
189	291	15
190	292	13
191	293	12
192	294	10
193	296	9
194	297	7
195	298	6
196	299	4
197	300	3
198	301	1
199	302	0
